👇SmartTV-亂給被封沒救👇,#genre#
Paramount Network, http://php.jdshipin.com:8880/smt.php?id=Paramountnetwork
Rock Actions, http://php.jdshipin.com:8880/smt.php?id=Rockaction
Rock Entertainment, http://php.jdshipin.com:8880/smt.php?id=Rockentertain
SCM, http://php.jdshipin.com:8880/smt.php?id=Weishimovie
Sony Pix HD, http://php.jdshipin.com:8880/smt.php?id=sonypix_mega
Star Movies HD, http://php.jdshipin.com:8880/smt.php?id=starmovies_raj
Thrill, http://php.jdshipin.com:8880/smt.php?id=Thrill
Warner TV, http://php.jdshipin.com:8880/smt.php?id=WarnerTV
tvN Movie, http://php.jdshipin.com:8880/smt.php?id=Tvnmovie
大愛2台, http://php.jdshipin.com:8880/smt.php?id=catchplay_twn
龍華電影, http://php.jdshipin.com:8880/smt.php?id=xingwei_movie
東森洋片, http://php.jdshipin.com:8880/smt.php?id=ettvwestern
東森電影, http://php.jdshipin.com:8880/smt.php?id=ettvmovie
美亞電影, http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
龍華洋片, http://php.jdshipin.com:8880/smt.php?id=lunghuawestern_twn
龍祥时代, http://php.jdshipin.com:8880/smt.php?id=lungxiangtime_twn
紀錄 Documentary,#genre#
AFC 亞洲旅遊台, http://php.jdshipin.com:8880/smt.php?id=asiatravel_twn
Animal Planet (Eng), http://php.jdshipin.com:8880/smt.php?id=AnimalPlanet
Animal_Planet, http://php.jdshipin.com:8880/smt.php?id=animalplanet_twn
Asia Travel, http://php.jdshipin.com:8880/smt.php?id=asiatravel_twn
BBC Earth HD, http://php.jdshipin.com:8880/smt.php?id=bbcearth_twn
BBC Earth Lifestyle, http://php.jdshipin.com:8880/smt.php?id=bbclifestyle_twn
CI, http://php.jdshipin.com:8880/smt.php?id=ci_twn
Discovery Asia, http://php.jdshipin.com:8880/smt.php?id=discoverytwn_twn
Discovery HD, http://php.jdshipin.com:8880/smt.php?id=discoveryhd_twn
Fashion TV, http://php.jdshipin.com:8880/smt.php?id=fashiontv_twn
Foodnetwork Hd, http://php.jdshipin.com:8880/smt.php?id=Foodnetwork_mega
HGTV, http://php.jdshipin.com:8880/smt.php?id=HGTV
History, http://php.jdshipin.com:8880/smt.php?id=History
MTV Live, http://php.jdshipin.com:8880/smt.php?id=mtvhd_twn
NatGeo HD, http://php.jdshipin.com:8880/smt.php?id=Natgeo
NatGeo Wild HD, http://php.jdshipin.com:8880/smt.php?id=Natgeowild
NatGeo_Wild HD, http://php.jdshipin.com:8880/smt.php?id=natgeowild_twn
Natgeo_HD, http://php.jdshipin.com:8880/smt.php?id=natgeohd_twn
TLC, http://php.jdshipin.com:8880/smt.php?id=Tlc
TLC Asia, http://php.jdshipin.com:8880/smt.php?id=tlc_twn
亞洲美食, http://php.jdshipin.com:8880/smt.php?id=afc_twn
美食星球, http://php.jdshipin.com:8880/smt.php?id=foodplanet_twn
新聞 News,#genre#
ABC News, http://php.jdshipin.com:8880/smt.php?id=abcnews_glo
Al-Jazeera, http://php.jdshipin.com:8880/smt.php?id=aljazeera_twn
BBC World News, http://php.jdshipin.com:8880/smt.php?id=Bbcnews
BBC World News, http://php.jdshipin.com:8880/smt.php?id=bbcnews_twn
Bloomberg News, http://php.jdshipin.com:8880/smt.php?id=bloomberg_twn
CBS HD, http://php.jdshipin.com:8880/smt.php?id=cbshd_glo
CBSN HD, http://php.jdshipin.com:8880/smt.php?id=cbsn_glo
CGTN, http://php.jdshipin.com:8880/smt.php?id=CGTN
CNA, http://php.jdshipin.com:8880/smt.php?id=cna
CNBC, http://php.jdshipin.com:8880/smt.php?id=cnbc_twn
CNN International, http://php.jdshipin.com:8880/smt.php?id=Cnn
CNN, http://php.jdshipin.com:8880/smt.php?id=cnn_twn
DW (Deutsch), http://php.jdshipin.com:8880/smt.php?id=dw_twn
Fox News, http://php.jdshipin.com:8880/smt.php?id=foxnews_twn
France 24, http://php.jdshipin.com:8880/smt.php?id=france24_twn
NHK World, http://php.jdshipin.com:8880/smt.php?id=nhkworld_japan
Skynews, http://php.jdshipin.com:8880/smt.php?id=skynews_antik
東森財經新聞, http://php.jdshipin.com:8880/smt.php?id=ettvcaijing_twn
兒童 Kids,#genre#
Animax, http://php.jdshipin.com:8880/smt.php?id=Animax
Baby TV Eng, http://php.jdshipin.com:8880/smt.php?id=Babytv
Baby TV, http://php.jdshipin.com:8880/smt.php?id=babytv_twn
Boomerang Taiwan, http://php.jdshipin.com:8880/smt.php?id=boomerang_twn
Boomerang, http://php.jdshipin.com:8880/smt.php?id=Boomerang
CBeebies, http://php.jdshipin.com:8880/smt.php?id=Cbeebies
Cartoon Network, http://php.jdshipin.com:8880/smt.php?id=Cn
Disney Taiwan, http://php.jdshipin.com:8880/smt.php?id=disneytwn_twn
Kids TV, http://php.jdshipin.com:8880/smt.php?id=KidsTV
MiaoMi, http://php.jdshipin.com:8880/smt.php?id=MiaoMi
Momo TV, http://php.jdshipin.com:8880/smt.php?id=momo1_twn
Nick Jr, http://php.jdshipin.com:8880/smt.php?id=Nickjr
Nickelodeon, http://php.jdshipin.com:8880/smt.php?id=Nickelodeon
東森幼幼 Yoyo TV, http://php.jdshipin.com:8880/smt.php?id=yoyo_twn
靖天卡通台, http://php.jdshipin.com:8880/smt.php?id=jingtiancartoon_twn
泰國 Thailand,#genre#
Amarin, http://php.jdshipin.com:8880/smt.php?id=amarin_pat
Ch 8, http://php.jdshipin.com:8880/smt.php?id=ch8_pat
Channel 3 Thailand, http://php.jdshipin.com:8880/smt.php?id=ch3_pat
Channel 5 Thailand, http://php.jdshipin.com:8880/smt.php?id=ch5_pat
Channel 7 Thailand, http://php.jdshipin.com:8880/smt.php?id=ch7_pat
Gmm Channel, http://php.jdshipin.com:8880/smt.php?id=gmmchannel_pat
GmmOne, http://php.jdshipin.com:8880/smt.php?id=gmmone_pat
MCOT HD Thailand-1, http://php.jdshipin.com:8880/smt.php?id=mcot_pat
Mono, http://php.jdshipin.com:8880/smt.php?id=mono_pat
Nation, http://php.jdshipin.com:8880/smt.php?id=nation_pat
Nbt, http://php.jdshipin.com:8880/smt.php?id=nbt_pat
New, http://php.jdshipin.com:8880/smt.php?id=new_pat
PPTV Thailand1, http://php.jdshipin.com:8880/smt.php?id=pptv_pat
TPTV, http://php.jdshipin.com:8880/smt.php?id=tptv_pat
Thai Thai, http://php.jdshipin.com:8880/smt.php?id=thaithai_pat
Thairath, http://php.jdshipin.com:8880/smt.php?id=thairath_pat
Tnn24, http://php.jdshipin.com:8880/smt.php?id=tnn24_pat
Workpoint, http://php.jdshipin.com:8880/smt.php?id=workpoint_pat
tpbs, http://php.jdshipin.com:8880/smt.php?id=tpbs_pat
英國 United Kingdom,#genre#
Al-Jazeera, http://php.jdshipin.com:8880/smt.php?id=aljazeera_twn
Animal Planet (Eng), http://php.jdshipin.com:8880/smt.php?id=AnimalPlanet
Axn HD, http://php.jdshipin.com:8880/smt.php?id=Axn
BBC 1, http://php.jdshipin.com:8880/smt.php?id=bbc1_antik
BBC 2, http://php.jdshipin.com:8880/smt.php?id=bbc2_antik
BBC Earth HD, http://php.jdshipin.com:8880/smt.php?id=bbcearth_twn
BBC Earth Lifestyle, http://php.jdshipin.com:8880/smt.php?id=bbclifestyle_twn
BBC World News, http://php.jdshipin.com:8880/smt.php?id=bbcworldnews_antik
Bloomberg News, http://php.jdshipin.com:8880/smt.php?id=bloomberg_twn
Boomerang, http://php.jdshipin.com:8880/smt.php?id=Boomerang
CBBC, http://php.jdshipin.com:8880/smt.php?id=cbbc_antik
CBeebies, http://php.jdshipin.com:8880/smt.php?id=Cbeebies
CGTN, http://php.jdshipin.com:8880/smt.php?id=CGTN
CNBC, http://php.jdshipin.com:8880/smt.php?id=cnbc_twn
Channel 4, http://php.jdshipin.com:8880/smt.php?id=channel4_antik
DW (Deutsch), http://php.jdshipin.com:8880/smt.php?id=dw_twn
Euronews, http://php.jdshipin.com:8880/smt.php?id=euronews_antik
France 24, http://php.jdshipin.com:8880/smt.php?id=france24_twn
Freesports, http://php.jdshipin.com:8880/smt.php?id=freesports_antik
HBO HD, http://php.jdshipin.com:8880/smt.php?id=Hbo
HGTV, http://php.jdshipin.com:8880/smt.php?id=HGTV
History, http://php.jdshipin.com:8880/smt.php?id=History
Hits Movie, http://php.jdshipin.com:8880/smt.php?id=Hitsmovie
Kids TV, http://php.jdshipin.com:8880/smt.php?id=KidsTV
MTV Live, http://php.jdshipin.com:8880/smt.php?id=mtvhd_twn
More4, http://php.jdshipin.com:8880/smt.php?id=more4_antik
NHK World, http://php.jdshipin.com:8880/smt.php?id=nhkworld_japan
NatGeo HD, http://php.jdshipin.com:8880/smt.php?id=Natgeo
NatGeo Wild HD, http://php.jdshipin.com:8880/smt.php?id=Natgeowild
Nick Jr, http://php.jdshipin.com:8880/smt.php?id=Nickjr
Nickelodeon, http://php.jdshipin.com:8880/smt.php?id=Nickelodeon
Pick TV, http://php.jdshipin.com:8880/smt.php?id=picktv_antik
Skynews, http://php.jdshipin.com:8880/smt.php?id=skynews_antik
Skysports Arena, http://php.jdshipin.com:8880/smt.php?id=tiankongarena
Skysports Cricket, http://php.jdshipin.com:8880/smt.php?id=tiankongcricket
Skysports EPL, http://php.jdshipin.com:8880/smt.php?id=tiankongepl
Skysports F1, http://php.jdshipin.com:8880/smt.php?id=tiankongf1
Skysports Football, http://php.jdshipin.com:8880/smt.php?id=tiankongfootball
Skysports Golf, http://php.jdshipin.com:8880/smt.php?id=tiankonggolf
Skysports Main Event, http://php.jdshipin.com:8880/smt.php?id=tiankongmain
Skysports News, http://php.jdshipin.com:8880/smt.php?id=tiankongnews
Star Movies HD, http://php.jdshipin.com:8880/smt.php?id=starmovies_raj
TLC, http://php.jdshipin.com:8880/smt.php?id=Tlc
Thrill, http://php.jdshipin.com:8880/smt.php?id=Thrill
Warner TV, http://php.jdshipin.com:8880/smt.php?id=WarnerTV
itv 1, http://php.jdshipin.com:8880/smt.php?id=itv1_antik
itv 2, http://php.jdshipin.com:8880/smt.php?id=itv2_antik
越南 Vietnam,#genre#
ANTV, http://php.jdshipin.com:8880/smt.php?id=viet_antv
BPTV 2, http://php.jdshipin.com:8880/smt.php?id=viet_bptv2
BRT HD, http://php.jdshipin.com:8880/smt.php?id=viet_brt
Ca Mau TV, http://php.jdshipin.com:8880/smt.php?id=viet_camautv
Danang TV1 HD, http://php.jdshipin.com:8880/smt.php?id=viet_danangtv1
Danang TV2 HD, http://php.jdshipin.com:8880/smt.php?id=viet_danangtv2
HBTV HD, http://php.jdshipin.com:8880/smt.php?id=viet_hbtv
HTV 7, http://php.jdshipin.com:8880/smt.php?id=viet_htv7
HTV 9, http://php.jdshipin.com:8880/smt.php?id=viet_htv9
PTTH 1, http://php.jdshipin.com:8880/smt.php?id=viet_ptth1
VTV 1, http://php.jdshipin.com:8880/smt.php?id=viet_vtv1
VTV 7, http://php.jdshipin.com:8880/smt.php?id=viet_vtv7
韓國 Korea,#genre#
All the Kpop, http://php.jdshipin.com:8880/smt.php?id=allthekpop_korea
Apps TV, http://php.jdshipin.com:8880/smt.php?id=appongoogle_korea
Arirang HD, http://php.jdshipin.com:8880/smt.php?id=arirang_korea
CBS, http://php.jdshipin.com:8880/smt.php?id=cbs_korea
CGNTV, http://php.jdshipin.com:8880/smt.php?id=cgntv_korea
EBS 1, http://php.jdshipin.com:8880/smt.php?id=ebs1_korea
EBS Kids, http://php.jdshipin.com:8880/smt.php?id=ebskids_korea
EBS Plus2, http://php.jdshipin.com:8880/smt.php?id=ebsplus2_korea
EBS2, http://php.jdshipin.com:8880/smt.php?id=ebs2_korea
J the Kpop, http://php.jdshipin.com:8880/smt.php?id=jthekpop_korea
KBS World 24, http://php.jdshipin.com:8880/smt.php?id=kbsworld24_korea
SBS Plus, http://php.jdshipin.com:8880/smt.php?id=sbsplus_korea
YTN DMB, http://php.jdshipin.com:8880/smt.php?id=ytndmb_korea
YTN Korean, http://php.jdshipin.com:8880/smt.php?id=ytnkorean_korea
YTN Science, http://php.jdshipin.com:8880/smt.php?id=ytnscience_korea
YTN, http://php.jdshipin.com:8880/smt.php?id=ytn_korea
Yonhap News, http://php.jdshipin.com:8880/smt.php?id=yonhapnews_korea
日本 Japan,#genre#
BS-TBS, http://php.jdshipin.com:8880/smt.php?id=bstbs_japan
BSジャパン 181, http://php.jdshipin.com:8880/smt.php?id=bs181_japan
BSフジ BS Fuji, http://php.jdshipin.com:8880/smt.php?id=bsfuji_japan
CNA Japan, http://php.jdshipin.com:8880/smt.php?id=cna_japan
JET 綜合, http://php.jdshipin.com:8880/smt.php?id=jettv_japan
NHK Oaska, http://php.jdshipin.com:8880/smt.php?id=nhkosaka_japan
NHK World, http://php.jdshipin.com:8880/smt.php?id=nhkworld_japan
NHK-E, http://php.jdshipin.com:8880/smt.php?id=nhke_japan
NHK-総合-2, http://php.jdshipin.com:8880/smt.php?id=nhkg_japan
NHKBS1, http://php.jdshipin.com:8880/smt.php?id=nhkbs1_japan
NHKBSプレミア Premium, http://php.jdshipin.com:8880/smt.php?id=nhkpremium_japan
TOKYOMX, http://php.jdshipin.com:8880/smt.php?id=tokyomx_japan
テレビ朝日 Asahi TV, http://php.jdshipin.com:8880/smt.php?id=asahitv_japan
テレビ東京 Tokyo TV, http://php.jdshipin.com:8880/smt.php?id=tokyotv_japan
